Acquisition Number,Name,Date,Machine,Site,Material_type,Diameter
36,TrainoCaso2,2019/11/13 10:17:57,Prima13,Schnell Spa,1,8
56,TrainoCaso2,2019/11/13 10:18:44,Prima13,Schnell Spa,1,8
7,TrainoCaso2,2019/11/13 10:16:49,Prima13,Schnell Spa,1,8
41,TrainoCaso2,2019/11/13 10:18:9,Prima13,Schnell Spa,1,8
34,TrainoCaso2,2019/11/13 10:17:52,Prima13,Schnell Spa,1,8
68,TrainoCaso2,2019/11/13 10:19:12,Prima13,Schnell Spa,1,8
75,TrainoCaso2,2019/11/13 10:19:28,Prima13,Schnell Spa,1,8
10,TrainoCaso2,2019/11/13 10:16:56,Prima13,Schnell Spa,1,8
45,TrainoCaso2,2019/11/13 10:18:18,Prima13,Schnell Spa,1,8
38,TrainoCaso2,2019/11/13 10:18:2,Prima13,Schnell Spa,1,8
23,TrainoCaso2,2019/11/13 10:17:27,Prima13,Schnell Spa,1,8
12,TrainoCaso2,2019/11/13 10:17:1,Prima13,Schnell Spa,1,8
95,TrainoCaso2,2019/11/13 10:20:15,Prima13,Schnell Spa,1,8
70,TrainoCaso2,2019/11/13 10:19:17,Prima13,Schnell Spa,1,8
97,TrainoCaso2,2019/11/13 10:20:20,Prima13,Schnell Spa,1,8
74,TrainoCaso2,2019/11/13 10:19:26,Prima13,Schnell Spa,1,8
57,TrainoCaso2,2019/11/13 10:18:46,Prima13,Schnell Spa,1,8
94,TrainoCaso2,2019/11/13 10:20:13,Prima13,Schnell Spa,1,8
8,TrainoCaso2,2019/11/13 10:16:52,Prima13,Schnell Spa,1,8
33,TrainoCaso2,2019/11/13 10:17:50,Prima13,Schnell Spa,1,8
64,TrainoCaso2,2019/11/13 10:19:3,Prima13,Schnell Spa,1,8
78,TrainoCaso2,2019/11/13 10:19:35,Prima13,Schnell Spa,1,8
65,TrainoCaso2,2019/11/13 10:19:5,Prima13,Schnell Spa,1,8
60,TrainoCaso2,2019/11/13 10:18:53,Prima13,Schnell Spa,1,8
26,TrainoCaso2,2019/11/13 10:17:34,Prima13,Schnell Spa,1,8
82,TrainoCaso2,2019/11/13 10:19:45,Prima13,Schnell Spa,1,8
81,TrainoCaso2,2019/11/13 10:19:42,Prima13,Schnell Spa,1,8
3,TrainoCaso2,2019/11/13 10:16:40,Prima13,Schnell Spa,1,8
25,TrainoCaso2,2019/11/13 10:17:31,Prima13,Schnell Spa,1,8
5,TrainoCaso2,2019/11/13 10:16:45,Prima13,Schnell Spa,1,8
14,TrainoCaso2,2019/11/13 10:17:6,Prima13,Schnell Spa,1,8
89,TrainoCaso2,2019/11/13 10:20:1,Prima13,Schnell Spa,1,8
91,TrainoCaso2,2019/11/13 10:20:6,Prima13,Schnell Spa,1,8
62,TrainoCaso2,2019/11/13 10:18:58,Prima13,Schnell Spa,1,8
51,TrainoCaso2,2019/11/13 10:18:32,Prima13,Schnell Spa,1,8
40,TrainoCaso2,2019/11/13 10:18:7,Prima13,Schnell Spa,1,8
93,TrainoCaso2,2019/11/13 10:20:10,Prima13,Schnell Spa,1,8
61,TrainoCaso2,2019/11/13 10:18:56,Prima13,Schnell Spa,1,8
99,TrainoCaso2,2019/11/13 10:20:24,Prima13,Schnell Spa,1,8
37,TrainoCaso2,2019/11/13 10:18:0,Prima13,Schnell Spa,1,8
67,TrainoCaso2,2019/11/13 10:19:10,Prima13,Schnell Spa,1,8
16,TrainoCaso2,2019/11/13 10:17:10,Prima13,Schnell Spa,1,8
55,TrainoCaso2,2019/11/13 10:18:42,Prima13,Schnell Spa,1,8
42,TrainoCaso2,2019/11/13 10:18:11,Prima13,Schnell Spa,1,8
46,TrainoCaso2,2019/11/13 10:18:21,Prima13,Schnell Spa,1,8
32,TrainoCaso2,2019/11/13 10:17:48,Prima13,Schnell Spa,1,8
54,TrainoCaso2,2019/11/13 10:18:39,Prima13,Schnell Spa,1,8
13,TrainoCaso2,2019/11/13 10:17:3,Prima13,Schnell Spa,1,8
24,TrainoCaso2,2019/11/13 10:17:29,Prima13,Schnell Spa,1,8
87,TrainoCaso2,2019/11/13 10:19:56,Prima13,Schnell Spa,1,8
28,TrainoCaso2,2019/11/13 10:17:38,Prima13,Schnell Spa,1,8
63,TrainoCaso2,2019/11/13 10:19:0,Prima13,Schnell Spa,1,8
85,TrainoCaso2,2019/11/13 10:19:52,Prima13,Schnell Spa,1,8
80,TrainoCaso2,2019/11/13 10:19:40,Prima13,Schnell Spa,1,8
52,TrainoCaso2,2019/11/13 10:18:35,Prima13,Schnell Spa,1,8
39,TrainoCaso2,2019/11/13 10:18:4,Prima13,Schnell Spa,1,8
72,TrainoCaso2,2019/11/13 10:19:21,Prima13,Schnell Spa,1,8
21,TrainoCaso2,2019/11/13 10:17:22,Prima13,Schnell Spa,1,8
71,TrainoCaso2,2019/11/13 10:19:19,Prima13,Schnell Spa,1,8
9,TrainoCaso2,2019/11/13 10:16:54,Prima13,Schnell Spa,1,8
79,TrainoCaso2,2019/11/13 10:19:38,Prima13,Schnell Spa,1,8
20,TrainoCaso2,2019/11/13 10:17:20,Prima13,Schnell Spa,1,8
58,TrainoCaso2,2019/11/13 10:18:49,Prima13,Schnell Spa,1,8
47,TrainoCaso2,2019/11/13 10:18:23,Prima13,Schnell Spa,1,8
29,TrainoCaso2,2019/11/13 10:17:41,Prima13,Schnell Spa,1,8
66,TrainoCaso2,2019/11/13 10:19:7,Prima13,Schnell Spa,1,8
11,TrainoCaso2,2019/11/13 10:16:59,Prima13,Schnell Spa,1,8
76,TrainoCaso2,2019/11/13 10:19:31,Prima13,Schnell Spa,1,8
59,TrainoCaso2,2019/11/13 10:18:51,Prima13,Schnell Spa,1,8
19,TrainoCaso2,2019/11/13 10:17:17,Prima13,Schnell Spa,1,8
96,TrainoCaso2,2019/11/13 10:20:17,Prima13,Schnell Spa,1,8
92,TrainoCaso2,2019/11/13 10:20:8,Prima13,Schnell Spa,1,8
44,TrainoCaso2,2019/11/13 10:18:16,Prima13,Schnell Spa,1,8
1,TrainoCaso2,2019/11/13 10:16:35,Prima13,Schnell Spa,1,8
84,TrainoCaso2,2019/11/13 10:19:49,Prima13,Schnell Spa,1,8
30,TrainoCaso2,2019/11/13 10:17:43,Prima13,Schnell Spa,1,8
48,TrainoCaso2,2019/11/13 10:18:25,Prima13,Schnell Spa,1,8
69,TrainoCaso2,2019/11/13 10:19:14,Prima13,Schnell Spa,1,8
90,TrainoCaso2,2019/11/13 10:20:3,Prima13,Schnell Spa,1,8
27,TrainoCaso2,2019/11/13 10:17:36,Prima13,Schnell Spa,1,8
49,TrainoCaso2,2019/11/13 10:18:28,Prima13,Schnell Spa,1,8
86,TrainoCaso2,2019/11/13 10:19:54,Prima13,Schnell Spa,1,8
31,TrainoCaso2,2019/11/13 10:17:45,Prima13,Schnell Spa,1,8
18,TrainoCaso2,2019/11/13 10:17:15,Prima13,Schnell Spa,1,8
83,TrainoCaso2,2019/11/13 10:19:47,Prima13,Schnell Spa,1,8
88,TrainoCaso2,2019/11/13 10:19:59,Prima13,Schnell Spa,1,8
17,TrainoCaso2,2019/11/13 10:17:13,Prima13,Schnell Spa,1,8
77,TrainoCaso2,2019/11/13 10:19:33,Prima13,Schnell Spa,1,8
2,TrainoCaso2,2019/11/13 10:16:38,Prima13,Schnell Spa,1,8
50,TrainoCaso2,2019/11/13 10:18:30,Prima13,Schnell Spa,1,8
15,TrainoCaso2,2019/11/13 10:17:8,Prima13,Schnell Spa,1,8
6,TrainoCaso2,2019/11/13 10:16:47,Prima13,Schnell Spa,1,8
73,TrainoCaso2,2019/11/13 10:19:24,Prima13,Schnell Spa,1,8
43,TrainoCaso2,2019/11/13 10:18:14,Prima13,Schnell Spa,1,8
22,TrainoCaso2,2019/11/13 10:17:24,Prima13,Schnell Spa,1,8
98,TrainoCaso2,2019/11/13 10:20:22,Prima13,Schnell Spa,1,8
35,TrainoCaso2,2019/11/13 10:17:55,Prima13,Schnell Spa,1,8
4,TrainoCaso2,2019/11/13 10:16:42,Prima13,Schnell Spa,1,8
53,TrainoCaso2,2019/11/13 10:18:37,Prima13,Schnell Spa,1,8
